"group","exposureId","exposureName","outcomeId","outcomeName"
"Antivirals",99,"Boceprevir",375292,"Perforation of tympanic membrane"
"Antivirals",99,"Boceprevir",4058388,"Hypertrophic scar"
"Antivirals",99,"Boceprevir",76153,"Low compliance bladder"
"Antivirals",99,"Boceprevir",436155,"Redundant prepuce and phimosis"
"Antivirals",95,"Hepatis C protease inhibitors",134460,"Plantar fascial fibromatosis"
"Antivirals",95,"Hepatis C protease inhibitors",77234,"Benign neoplasm of colon"
"Antivirals",95,"Hepatis C protease inhibitors",374375,"Impacted cerumen"
"Antivirals",95,"Hepatis C protease inhibitors",4209423,"Nicotine dependence"
"Antivirals",95,"Hepatis C protease inhibitors",438252,"Spontaneous ecchymosis"
"Antivirals",95,"Hepatis C protease inhibitors",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",95,"Hepatis C protease inhibitors",4213540,"Cervical somatic dysfunction"
"Antivirals",95,"Hepatis C protease inhibitors",4012368,"Increased frequency of urination"
"Antivirals",95,"Hepatis C protease inhibitors",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",95,"Hepatis C protease inhibitors",136497,"Scar conditions and fibrosis of skin"
"Antivirals",95,"Hepatis C protease inhibitors",36714126,"Difficulty walking"
"Antivirals",95,"Hepatis C protease inhibitors",381877,"Dysfunction of eustachian tube"
"Antivirals",95,"Hepatis C protease inhibitors",4142875,"Solitary nodule of lung"
"Antivirals",95,"Hepatis C protease inhibitors",192450,"Retention of urine"
"Antivirals",95,"Hepatis C protease inhibitors",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",95,"Hepatis C protease inhibitors",77139,"Open wound of finger without complication"
"Antivirals",95,"Hepatis C protease inhibitors",73560,"Calcaneal spur"
"Antivirals",95,"Hepatis C protease inhibitors",196168,"Irregular periods"
"Antivirals",95,"Hepatis C protease inhibitors",46286594,"Problem related to lifestyle"
"Antivirals",95,"Hepatis C protease inhibitors",4094343,"Dislocations/sprains/strains"
"Antivirals",95,"Hepatis C protease inhibitors",4245252,"Raised prostate specific antigen"
"Antivirals",95,"Hepatis C protease inhibitors",4131791,"Hydrocele of testis"
"Antivirals",95,"Hepatis C protease inhibitors",443274,"Psychostimulant dependence"
"Antivirals",95,"Hepatis C protease inhibitors",4344500,"Impingement syndrome of shoulder region"
"Antivirals",95,"Hepatis C protease inhibitors",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",95,"Hepatis C protease inhibitors",432303,"Cocaine abuse"
"Antivirals",95,"Hepatis C protease inhibitors",4268622,"Stricture of esophagus"
"Antivirals",95,"Hepatis C protease inhibitors",132781,"Mechanical complication of vascular device"
"Antivirals",95,"Hepatis C protease inhibitors",77079,"Spinal stenosis"
"Antivirals",95,"Hepatis C protease inhibitors",40479573,"Stimulant abuse"
"Antivirals",95,"Hepatis C protease inhibitors",72711,"Shoulder stiff"
"Antivirals",95,"Hepatis C protease inhibitors",4167097,"Spondylolisthesis"
"Antivirals",95,"Hepatis C protease inhibitors",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",95,"Hepatis C protease inhibitors",79873,"Urolith"
"Antivirals",95,"Hepatis C protease inhibitors",201606,"Crohn's disease"
"Antivirals",95,"Hepatis C protease inhibitors",440905,"Toxic effect of venom"
"Antivirals",95,"Hepatis C protease inhibitors",194993,"Intestinal malabsorption"
"Antivirals",95,"Hepatis C protease inhibitors",135214,"Polycythemia vera"
"Antivirals",95,"Hepatis C protease inhibitors",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",95,"Hepatis C protease inhibitors",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",95,"Hepatis C protease inhibitors",444428,"Nonvenomous insect bite without infection"
"Antivirals",95,"Hepatis C protease inhibitors",4141640,"Perimenopausal disorder"
"Antivirals",95,"Hepatis C protease inhibitors",439935,"Abnormal posture"
"Antivirals",95,"Hepatis C protease inhibitors",79917,"Acquired deformity of toe"
"Antivirals",95,"Hepatis C protease inhibitors",439795,"Minimal cognitive impairment"
"Antivirals",95,"Hepatis C protease inhibitors",375292,"Perforation of tympanic membrane"
"Antivirals",95,"Hepatis C protease inhibitors",4058388,"Hypertrophic scar"
"Antivirals",95,"Hepatis C protease inhibitors",76153,"Low compliance bladder"
"Antivirals",95,"Hepatis C protease inhibitors",436155,"Redundant prepuce and phimosis"
"Antivirals",97,"Navir protease inhibitors",134460,"Plantar fascial fibromatosis"
"Antivirals",97,"Navir protease inhibitors",77234,"Benign neoplasm of colon"
"Antivirals",97,"Navir protease inhibitors",374375,"Impacted cerumen"
"Antivirals",97,"Navir protease inhibitors",4209423,"Nicotine dependence"
"Antivirals",97,"Navir protease inhibitors",438252,"Spontaneous ecchymosis"
"Antivirals",97,"Navir protease inhibitors",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",97,"Navir protease inhibitors",4213540,"Cervical somatic dysfunction"
"Antivirals",97,"Navir protease inhibitors",4012368,"Increased frequency of urination"
"Antivirals",97,"Navir protease inhibitors",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",97,"Navir protease inhibitors",136497,"Scar conditions and fibrosis of skin"
"Antivirals",97,"Navir protease inhibitors",36714126,"Difficulty walking"
"Antivirals",97,"Navir protease inhibitors",381877,"Dysfunction of eustachian tube"
"Antivirals",97,"Navir protease inhibitors",4142875,"Solitary nodule of lung"
"Antivirals",97,"Navir protease inhibitors",192450,"Retention of urine"
"Antivirals",97,"Navir protease inhibitors",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",97,"Navir protease inhibitors",77139,"Open wound of finger without complication"
"Antivirals",97,"Navir protease inhibitors",73560,"Calcaneal spur"
"Antivirals",97,"Navir protease inhibitors",196168,"Irregular periods"
"Antivirals",97,"Navir protease inhibitors",46286594,"Problem related to lifestyle"
"Antivirals",97,"Navir protease inhibitors",4094343,"Dislocations/sprains/strains"
"Antivirals",97,"Navir protease inhibitors",4245252,"Raised prostate specific antigen"
"Antivirals",97,"Navir protease inhibitors",4131791,"Hydrocele of testis"
"Antivirals",97,"Navir protease inhibitors",443274,"Psychostimulant dependence"
"Antivirals",97,"Navir protease inhibitors",4344500,"Impingement syndrome of shoulder region"
"Antivirals",97,"Navir protease inhibitors",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",97,"Navir protease inhibitors",432303,"Cocaine abuse"
"Antivirals",97,"Navir protease inhibitors",4268622,"Stricture of esophagus"
"Antivirals",97,"Navir protease inhibitors",132781,"Mechanical complication of vascular device"
"Antivirals",97,"Navir protease inhibitors",77079,"Spinal stenosis"
"Antivirals",97,"Navir protease inhibitors",40479573,"Stimulant abuse"
"Antivirals",97,"Navir protease inhibitors",72711,"Shoulder stiff"
"Antivirals",97,"Navir protease inhibitors",4167097,"Spondylolisthesis"
"Antivirals",97,"Navir protease inhibitors",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",97,"Navir protease inhibitors",79873,"Urolith"
"Antivirals",97,"Navir protease inhibitors",201606,"Crohn's disease"
"Antivirals",97,"Navir protease inhibitors",440905,"Toxic effect of venom"
"Antivirals",97,"Navir protease inhibitors",194993,"Intestinal malabsorption"
"Antivirals",97,"Navir protease inhibitors",135214,"Polycythemia vera"
"Antivirals",97,"Navir protease inhibitors",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",97,"Navir protease inhibitors",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",97,"Navir protease inhibitors",444428,"Nonvenomous insect bite without infection"
"Antivirals",97,"Navir protease inhibitors",4141640,"Perimenopausal disorder"
"Antivirals",97,"Navir protease inhibitors",439935,"Abnormal posture"
"Antivirals",97,"Navir protease inhibitors",79917,"Acquired deformity of toe"
"Antivirals",97,"Navir protease inhibitors",439795,"Minimal cognitive impairment"
"Antivirals",97,"Navir protease inhibitors",375292,"Perforation of tympanic membrane"
"Antivirals",97,"Navir protease inhibitors",4058388,"Hypertrophic scar"
"Antivirals",97,"Navir protease inhibitors",76153,"Low compliance bladder"
"Antivirals",97,"Navir protease inhibitors",436155,"Redundant prepuce and phimosis"
"Antivirals",100,"Peginterferon alfa-2b",134460,"Plantar fascial fibromatosis"
"Antivirals",100,"Peginterferon alfa-2b",77234,"Benign neoplasm of colon"
"Antivirals",100,"Peginterferon alfa-2b",374375,"Impacted cerumen"
"Antivirals",100,"Peginterferon alfa-2b",4209423,"Nicotine dependence"
"Antivirals",100,"Peginterferon alfa-2b",438252,"Spontaneous ecchymosis"
"Antivirals",100,"Peginterferon alfa-2b",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",100,"Peginterferon alfa-2b",4213540,"Cervical somatic dysfunction"
"Antivirals",100,"Peginterferon alfa-2b",4012368,"Increased frequency of urination"
"Antivirals",100,"Peginterferon alfa-2b",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",100,"Peginterferon alfa-2b",136497,"Scar conditions and fibrosis of skin"
"Antivirals",100,"Peginterferon alfa-2b",36714126,"Difficulty walking"
"Antivirals",100,"Peginterferon alfa-2b",381877,"Dysfunction of eustachian tube"
"Antivirals",100,"Peginterferon alfa-2b",4142875,"Solitary nodule of lung"
"Antivirals",100,"Peginterferon alfa-2b",192450,"Retention of urine"
"Antivirals",100,"Peginterferon alfa-2b",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",100,"Peginterferon alfa-2b",77139,"Open wound of finger without complication"
"Antivirals",100,"Peginterferon alfa-2b",73560,"Calcaneal spur"
"Antivirals",100,"Peginterferon alfa-2b",196168,"Irregular periods"
"Antivirals",100,"Peginterferon alfa-2b",46286594,"Problem related to lifestyle"
"Antivirals",100,"Peginterferon alfa-2b",4094343,"Dislocations/sprains/strains"
"Antivirals",100,"Peginterferon alfa-2b",4245252,"Raised prostate specific antigen"
"Antivirals",100,"Peginterferon alfa-2b",4131791,"Hydrocele of testis"
"Antivirals",100,"Peginterferon alfa-2b",443274,"Psychostimulant dependence"
"Antivirals",100,"Peginterferon alfa-2b",4344500,"Impingement syndrome of shoulder region"
"Antivirals",100,"Peginterferon alfa-2b",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",100,"Peginterferon alfa-2b",432303,"Cocaine abuse"
"Antivirals",100,"Peginterferon alfa-2b",4268622,"Stricture of esophagus"
"Antivirals",100,"Peginterferon alfa-2b",132781,"Mechanical complication of vascular device"
"Antivirals",100,"Peginterferon alfa-2b",77079,"Spinal stenosis"
"Antivirals",100,"Peginterferon alfa-2b",40479573,"Stimulant abuse"
"Antivirals",100,"Peginterferon alfa-2b",72711,"Shoulder stiff"
"Antivirals",100,"Peginterferon alfa-2b",4167097,"Spondylolisthesis"
"Antivirals",100,"Peginterferon alfa-2b",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",100,"Peginterferon alfa-2b",79873,"Urolith"
"Antivirals",100,"Peginterferon alfa-2b",201606,"Crohn's disease"
"Antivirals",100,"Peginterferon alfa-2b",440905,"Toxic effect of venom"
"Antivirals",100,"Peginterferon alfa-2b",194993,"Intestinal malabsorption"
"Antivirals",100,"Peginterferon alfa-2b",135214,"Polycythemia vera"
"Antivirals",100,"Peginterferon alfa-2b",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",100,"Peginterferon alfa-2b",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",100,"Peginterferon alfa-2b",444428,"Nonvenomous insect bite without infection"
"Antivirals",100,"Peginterferon alfa-2b",4141640,"Perimenopausal disorder"
"Antivirals",100,"Peginterferon alfa-2b",439935,"Abnormal posture"
"Antivirals",100,"Peginterferon alfa-2b",79917,"Acquired deformity of toe"
"Antivirals",100,"Peginterferon alfa-2b",439795,"Minimal cognitive impairment"
"Antivirals",100,"Peginterferon alfa-2b",375292,"Perforation of tympanic membrane"
"Antivirals",100,"Peginterferon alfa-2b",4058388,"Hypertrophic scar"
"Antivirals",100,"Peginterferon alfa-2b",76153,"Low compliance bladder"
"Antivirals",100,"Peginterferon alfa-2b",436155,"Redundant prepuce and phimosis"
"Antivirals",36,"Lopinavir",134460,"Plantar fascial fibromatosis"
"Antivirals",36,"Lopinavir",77234,"Benign neoplasm of colon"
"Antivirals",36,"Lopinavir",374375,"Impacted cerumen"
"Antivirals",36,"Lopinavir",4209423,"Nicotine dependence"
"Antivirals",36,"Lopinavir",438252,"Spontaneous ecchymosis"
"Antivirals",36,"Lopinavir",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",36,"Lopinavir",4213540,"Cervical somatic dysfunction"
"Antivirals",36,"Lopinavir",4012368,"Increased frequency of urination"
"Antivirals",36,"Lopinavir",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",36,"Lopinavir",136497,"Scar conditions and fibrosis of skin"
"Antivirals",36,"Lopinavir",36714126,"Difficulty walking"
"Antivirals",36,"Lopinavir",381877,"Dysfunction of eustachian tube"
"Antivirals",36,"Lopinavir",4142875,"Solitary nodule of lung"
"Antivirals",36,"Lopinavir",192450,"Retention of urine"
"Antivirals",36,"Lopinavir",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",36,"Lopinavir",77139,"Open wound of finger without complication"
"Antivirals",36,"Lopinavir",73560,"Calcaneal spur"
"Antivirals",36,"Lopinavir",196168,"Irregular periods"
"Antivirals",36,"Lopinavir",46286594,"Problem related to lifestyle"
"Antivirals",36,"Lopinavir",4094343,"Dislocations/sprains/strains"
"Antivirals",36,"Lopinavir",4245252,"Raised prostate specific antigen"
"Antivirals",36,"Lopinavir",4131791,"Hydrocele of testis"
"Antivirals",36,"Lopinavir",443274,"Psychostimulant dependence"
"Antivirals",36,"Lopinavir",4344500,"Impingement syndrome of shoulder region"
"Antivirals",36,"Lopinavir",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",36,"Lopinavir",432303,"Cocaine abuse"
"Antivirals",36,"Lopinavir",4268622,"Stricture of esophagus"
"Antivirals",36,"Lopinavir",132781,"Mechanical complication of vascular device"
"Antivirals",36,"Lopinavir",77079,"Spinal stenosis"
"Antivirals",36,"Lopinavir",40479573,"Stimulant abuse"
"Antivirals",36,"Lopinavir",72711,"Shoulder stiff"
"Antivirals",36,"Lopinavir",4167097,"Spondylolisthesis"
"Antivirals",36,"Lopinavir",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",36,"Lopinavir",79873,"Urolith"
"Antivirals",36,"Lopinavir",201606,"Crohn's disease"
"Antivirals",36,"Lopinavir",440905,"Toxic effect of venom"
"Antivirals",36,"Lopinavir",194993,"Intestinal malabsorption"
"Antivirals",36,"Lopinavir",135214,"Polycythemia vera"
"Antivirals",36,"Lopinavir",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",36,"Lopinavir",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",36,"Lopinavir",444428,"Nonvenomous insect bite without infection"
"Antivirals",36,"Lopinavir",4141640,"Perimenopausal disorder"
"Antivirals",36,"Lopinavir",439935,"Abnormal posture"
"Antivirals",36,"Lopinavir",79917,"Acquired deformity of toe"
"Antivirals",36,"Lopinavir",439795,"Minimal cognitive impairment"
"Antivirals",36,"Lopinavir",375292,"Perforation of tympanic membrane"
"Antivirals",36,"Lopinavir",4058388,"Hypertrophic scar"
"Antivirals",36,"Lopinavir",76153,"Low compliance bladder"
"Antivirals",36,"Lopinavir",436155,"Redundant prepuce and phimosis"
"Antivirals",98,"Ribavirin",134460,"Plantar fascial fibromatosis"
"Antivirals",98,"Ribavirin",77234,"Benign neoplasm of colon"
"Antivirals",98,"Ribavirin",374375,"Impacted cerumen"
"Antivirals",98,"Ribavirin",4209423,"Nicotine dependence"
"Antivirals",98,"Ribavirin",438252,"Spontaneous ecchymosis"
"Antivirals",98,"Ribavirin",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",98,"Ribavirin",4213540,"Cervical somatic dysfunction"
"Antivirals",98,"Ribavirin",4012368,"Increased frequency of urination"
"Antivirals",98,"Ribavirin",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",98,"Ribavirin",136497,"Scar conditions and fibrosis of skin"
"Antivirals",98,"Ribavirin",36714126,"Difficulty walking"
"Antivirals",98,"Ribavirin",381877,"Dysfunction of eustachian tube"
"Antivirals",98,"Ribavirin",4142875,"Solitary nodule of lung"
"Antivirals",98,"Ribavirin",192450,"Retention of urine"
"Antivirals",98,"Ribavirin",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",98,"Ribavirin",77139,"Open wound of finger without complication"
"Antivirals",98,"Ribavirin",73560,"Calcaneal spur"
"Antivirals",98,"Ribavirin",196168,"Irregular periods"
"Antivirals",98,"Ribavirin",46286594,"Problem related to lifestyle"
"Antivirals",98,"Ribavirin",4094343,"Dislocations/sprains/strains"
"Antivirals",98,"Ribavirin",4245252,"Raised prostate specific antigen"
"Antivirals",98,"Ribavirin",4131791,"Hydrocele of testis"
"Antivirals",98,"Ribavirin",443274,"Psychostimulant dependence"
"Antivirals",98,"Ribavirin",4344500,"Impingement syndrome of shoulder region"
"Antivirals",98,"Ribavirin",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",98,"Ribavirin",432303,"Cocaine abuse"
"Antivirals",98,"Ribavirin",4268622,"Stricture of esophagus"
"Antivirals",98,"Ribavirin",132781,"Mechanical complication of vascular device"
"Antivirals",98,"Ribavirin",77079,"Spinal stenosis"
"Antivirals",98,"Ribavirin",40479573,"Stimulant abuse"
"Antivirals",98,"Ribavirin",72711,"Shoulder stiff"
"Antivirals",98,"Ribavirin",4167097,"Spondylolisthesis"
"Antivirals",98,"Ribavirin",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",98,"Ribavirin",79873,"Urolith"
"Antivirals",98,"Ribavirin",201606,"Crohn's disease"
"Antivirals",98,"Ribavirin",440905,"Toxic effect of venom"
"Antivirals",98,"Ribavirin",194993,"Intestinal malabsorption"
"Antivirals",98,"Ribavirin",135214,"Polycythemia vera"
"Antivirals",98,"Ribavirin",45772671,"Nodular prostate without urinary obstruction"
"Antivirals",98,"Ribavirin",443585,"Abrasion and/or friction burn of multiple sites"
"Antivirals",98,"Ribavirin",444428,"Nonvenomous insect bite without infection"
"Antivirals",98,"Ribavirin",4141640,"Perimenopausal disorder"
"Antivirals",98,"Ribavirin",439935,"Abnormal posture"
"Antivirals",98,"Ribavirin",79917,"Acquired deformity of toe"
"Antivirals",98,"Ribavirin",439795,"Minimal cognitive impairment"
"Antivirals",98,"Ribavirin",375292,"Perforation of tympanic membrane"
"Antivirals",98,"Ribavirin",4058388,"Hypertrophic scar"
"Antivirals",98,"Ribavirin",76153,"Low compliance bladder"
"Antivirals",98,"Ribavirin",436155,"Redundant prepuce and phimosis"
"Antivirals",96,"Ritonavir",134460,"Plantar fascial fibromatosis"
"Antivirals",96,"Ritonavir",77234,"Benign neoplasm of colon"
"Antivirals",96,"Ritonavir",374375,"Impacted cerumen"
"Antivirals",96,"Ritonavir",4209423,"Nicotine dependence"
"Antivirals",96,"Ritonavir",438252,"Spontaneous ecchymosis"
"Antivirals",96,"Ritonavir",36713918,"Somatic dysfunction of lumbar region"
"Antivirals",96,"Ritonavir",4213540,"Cervical somatic dysfunction"
"Antivirals",96,"Ritonavir",4012368,"Increased frequency of urination"
"Antivirals",96,"Ritonavir",4164898,"Diverticulosis of large intestine without diverticulitis"
"Antivirals",96,"Ritonavir",136497,"Scar conditions and fibrosis of skin"
"Antivirals",96,"Ritonavir",36714126,"Difficulty walking"
"Antivirals",96,"Ritonavir",381877,"Dysfunction of eustachian tube"
"Antivirals",96,"Ritonavir",4142875,"Solitary nodule of lung"
"Antivirals",96,"Ritonavir",192450,"Retention of urine"
"Antivirals",96,"Ritonavir",4110815,"Sensorineural hearing loss, bilateral"
"Antivirals",96,"Ritonavir",77139,"Open wound of finger without complication"
"Antivirals",96,"Ritonavir",73560,"Calcaneal spur"
"Antivirals",96,"Ritonavir",196168,"Irregular periods"
"Antivirals",96,"Ritonavir",46286594,"Problem related to lifestyle"
"Antivirals",96,"Ritonavir",4094343,"Dislocations/sprains/strains"
"Antivirals",96,"Ritonavir",4245252,"Raised prostate specific antigen"
"Antivirals",96,"Ritonavir",4131791,"Hydrocele of testis"
"Antivirals",96,"Ritonavir",443274,"Psychostimulant dependence"
"Antivirals",96,"Ritonavir",4344500,"Impingement syndrome of shoulder region"
"Antivirals",96,"Ritonavir",74464,"Idiopathic scoliosis AND/OR kyphoscoliosis"
"Antivirals",96,"Ritonavir",432303,"Cocaine abuse"
"Antivirals",96,"Ritonavir",4268622,"Stricture of esophagus"
"Antivirals",96,"Ritonavir",132781,"Mechanical complication of vascular device"
"Antivirals",96,"Ritonavir",77079,"Spinal stenosis"
"Antivirals",96,"Ritonavir",40479573,"Stimulant abuse"
"Antivirals",96,"Ritonavir",72711,"Shoulder stiff"
"Antivirals",96,"Ritonavir",4167097,"Spondylolisthesis"
"Antivirals",96,"Ritonavir",45757380,"Human papilloma virus deoxyribonucleic acid test positive, high risk on anal specimen"
"Antivirals",96,"Ritonavir",79873,"Urolith"
"Antivirals",96,"Ritonavir",201606,"Crohn's disease"
"Antivirals",96,"Ritonavir",440905,"Toxic effect of venom"
